dataset,repeats,n_vectors,lavd_cli_bits,code_name,code_bits_per_dimension,record_mode,materialization_fraction,build_mean_s,build_median_s,build_stdev_s,build_ci95_half_s,build_peak_rss_mean_gib,build_peak_rss_median_gib,build_peak_rss_stdev_gib,build_peak_rss_ci95_half_gib,process_peak_rss_mean_gib,process_peak_rss_median_gib,process_peak_rss_stdev_gib,process_peak_rss_ci95_half_gib,region_gb,authoritative_index_gb,storage_amplification,raw_json_paths,raw_err_paths
SIFT1M,5,1000000,8,sq8,8,fixed,1.0,20.6240093222,20.634445487,0.05274144118432189,0.06547665017383905,4.827330780029297,4.8273773193359375,0.0001204623172022165,0.00014954974353116883,4.827330780029297,4.8273773193359375,0.0001204623172022165,0.00014954974353116883,4.616016384,0.79679978,5.79319485253874,results/vldb_final_evidence/build_cost/raw/SIFT1M_r0.json;results/vldb_final_evidence/build_cost/raw/SIFT1M_r1.json;results/vldb_final_evidence/build_cost/raw/SIFT1M_r2.json;results/vldb_final_evidence/build_cost/raw/SIFT1M_r3.json;results/vldb_final_evidence/build_cost/raw/SIFT1M_r4.json,results/vldb_final_evidence/build_cost/raw/SIFT1M_r0.err;results/vldb_final_evidence/build_cost/raw/SIFT1M_r1.err;results/vldb_final_evidence/build_cost/raw/SIFT1M_r2.err;results/vldb_final_evidence/build_cost/raw/SIFT1M_r3.err;results/vldb_final_evidence/build_cost/raw/SIFT1M_r4.err
DEEP1M,5,1000000,8,sq8,8,fixed,1.0,18.4896857536,18.501377252999998,0.03767634048696473,0.04677385582381022,4.706929779052734,4.706878662109375,0.00012999668901438383,0.00016138633187146183,4.706929779052734,4.706878662109375,0.00012999668901438383,0.00016138633187146183,3.592016384,0.66879978,5.370839661460415,results/vldb_final_evidence/build_cost/raw/DEEP1M_r0.json;results/vldb_final_evidence/build_cost/raw/DEEP1M_r1.json;results/vldb_final_evidence/build_cost/raw/DEEP1M_r2.json;results/vldb_final_evidence/build_cost/raw/DEEP1M_r3.json;results/vldb_final_evidence/build_cost/raw/DEEP1M_r4.json,results/vldb_final_evidence/build_cost/raw/DEEP1M_r0.err;results/vldb_final_evidence/build_cost/raw/DEEP1M_r1.err;results/vldb_final_evidence/build_cost/raw/DEEP1M_r2.err;results/vldb_final_evidence/build_cost/raw/DEEP1M_r3.err;results/vldb_final_evidence/build_cost/raw/DEEP1M_r4.err
GIST1M,5,1000000,8,RaBitQ-2,2,fixed,1.0,25.4766477596,25.470119868999998,0.03743540781635303,0.0464747463600783,8.506361389160157,8.506305694580078,0.00012016599136656105,0.00014918186539505812,8.506361389160157,8.506305694580078,0.00012016599136656105,0.00014918186539505812,8.456016384,4.12479978,2.0500428711717977,results/vldb_final_evidence/build_cost/raw/GIST1M_r0.json;results/vldb_final_evidence/build_cost/raw/GIST1M_r1.json;results/vldb_final_evidence/build_cost/raw/GIST1M_r2.json;results/vldb_final_evidence/build_cost/raw/GIST1M_r3.json;results/vldb_final_evidence/build_cost/raw/GIST1M_r4.json,results/vldb_final_evidence/build_cost/raw/GIST1M_r0.err;results/vldb_final_evidence/build_cost/raw/GIST1M_r1.err;results/vldb_final_evidence/build_cost/raw/GIST1M_r2.err;results/vldb_final_evidence/build_cost/raw/GIST1M_r3.err;results/vldb_final_evidence/build_cost/raw/GIST1M_r4.err
