factor,value,n,threads,query_contexts,coroutines,top_k,ef,query_suffix,recall_mean,recall_ci95,qps_mean,qps_ci95,p50_us_mean,p50_us_ci95,p95_us_mean,p95_us_ci95,p99_us_mean,p99_us_ci95,posts_per_query_mean,posts_per_query_ci95,bytes_per_query_mean,bytes_per_query_ci95
coroutines,1,5,10,10,1,10,200,uniform,0.98907,0.0,6716.0,42.53716169186656,1478.8342,7.965102230871169,1588.4224000000002,18.355247044020178,1641.4028,21.5179304641291,201.8453,0.0,530228.0984,0.0
coroutines,16,5,10,10,16,10,200,uniform,0.98907,0.0,18400.4,179.55077011519606,8306.4576,85.84711037599429,9035.199,74.65203239428166,13200.7402,668.711588264172,204.8453,0.0,530228.0984,0.0
coroutines,2,5,10,10,2,10,200,uniform,0.98907,0.0,12004.2,224.87896080300615,1645.6976,30.309626487380065,1735.4246,32.17330079041518,1815.38,29.012568181612963,201.8453,0.0,530228.0984,0.0
coroutines,4,5,10,10,4,10,200,uniform,0.98907,0.0,17867.4,470.0978757213863,2175.145,56.2571177947717,2339.3396000000002,46.25887349091527,2697.4404000000004,631.9348089577173,201.8453,0.0,530228.0984,0.0
coroutines,8,5,10,10,8,10,200,uniform,0.98907,0.0,18301.0,1915.6731295809311,3930.8246,46.998013008960726,4441.7204,63.088581138453314,4731.0656,77.64607583440034,202.8453,0.0,530228.0984,0.0
latency_instrumentation,off,5,10,10,2,10,200,uniform,0.98907,0.0,11926.8,183.7732966647766,,,,,,,201.8453,0.0,530228.0984,0.0
latency_instrumentation,on,5,10,10,2,10,200,uniform,0.98907,0.0,12163.8,234.42559833738287,1621.826,32.401397331887885,1725.5858,34.84518193051772,1790.3458,35.309409345763825,201.8453,0.0,530228.0984,0.0
query_distribution,uniform,5,10,10,2,10,200,uniform,0.98907,0.0,12087.2,261.1231971936618,1630.722,38.90931071297205,1737.106,32.22951377951256,1803.3394,45.056459242815464,201.8453,0.0,530228.0984,0.0
query_distribution,zipf1.0,5,10,10,2,10,200,a1.0-n10000,0.99294,0.0,12249.2,91.00623931489532,1607.6496,12.381028640455419,1713.896,15.940233581901426,1798.1126000000002,48.82217608091478,202.0105,0.0,528872.3384,0.0
top_k,1,5,10,10,2,1,200,uniform,0.9939,0.0,11929.4,270.7583521817194,1654.6338,38.15847390672416,1760.747,41.7236913649715,1835.1366,46.75896963234158,201.8453,0.0,530228.0984,0.0
top_k,10,5,10,10,2,10,200,uniform,0.98907,0.0,11932.6,274.43340000109316,1655.7118,39.47142162866391,1754.6606,38.82230876356142,1825.8412,39.77533617048301,201.8453,0.0,530228.0984,0.0
top_k,100,5,10,10,2,100,200,uniform,0.95455,0.0,11762.4,60.0514955763801,1676.8838,3.6433103704710237,1779.0064,8.67629714336684,1861.9086,29.55255119028391,201.8453,0.0,530228.0984,0.0
top_k,50,5,10,10,2,50,200,uniform,0.975276,0.0,11985.8,270.34221056549785,1645.6976,31.87253522408646,1745.92,39.244045856945775,1830.263,57.99061473161725,201.8453,0.0,530228.0984,0.0
workers,1,5,1,1,2,10,200,uniform,0.98907,0.0,1347.8,15.590150449562694,1476.6354,16.220876560542816,1540.2974000000002,19.38744115710258,1573.0278,21.218805742825683,201.8453,0.0,530228.0984,0.0
workers,16,5,16,16,2,10,200,uniform,0.98907,0.0,17209.2,323.0820381919118,1825.0844,42.19654896467921,1914.8516000000002,41.783524813157015,2288.161,329.484023124374,201.8453,0.0,530228.0984,0.0
workers,40,5,40,40,2,10,200,uniform,0.98907,0.0,20861.6,57.25966853693793,3755.6408,1.9112296118117789,3966.7066000000004,3.287269131156672,4259.7324,31.276315536000784,201.8453,0.0,530228.0984,0.0
workers,8,5,8,8,2,10,200,uniform,0.98907,0.0,9724.4,231.02858689815855,1627.2966000000001,36.93319657428987,1710.3604,35.14596235401107,1777.5356,44.77782876582442,201.8453,0.0,530228.0984,0.0
